Serial Number,Project Name,Category/Company,Amount/Value,PDF Link,PDF Filename
403,Gaurastone Handicraft,Samadhan Projects,1047000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GaurastoneHandicraft.pdf,GaurastoneHandicraft.pdf
404,Gear Blanks,Samadhan Projects,3889000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GearBlanks.pdf,GearBlanks.pdf
405,Geranium Oil,Samadhan Projects,1755000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GeraniumOil.pdf,GeraniumOil.pdf
406,Gerbera Cultivation,Samadhan Projects,4937000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GerberaCultivation.pdf,GerberaCultivation.pdf
407,Ghee,Samadhan Projects,2444000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Ghee.pdf,Ghee.pdf
409,Ghungroo & Ghanti,Samadhan Projects,899000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Ghungroo&Ghanti.pdf,Ghungroo&Ghanti.pdf
410,Ginger Processing,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GingerProcessing.pdf,GingerProcessing.pdf
411,Glass Bangles_DPR,Samadhan Projects,1170000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GlassBanglesDPR.pdf,GlassBanglesDPR.pdf
412,Glass Bowl_DPR,Samadhan Projects,1510000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GlassBowlDPR.pdf,GlassBowlDPR.pdf
413,Glass Bulb Shell_DPR,Samadhan Projects,1442000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GlassBulbShellDPR.pdf,GlassBulbShellDPR.pdf
414,Glass Mirror making,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GlassMirrormaking.pdf,GlassMirrormaking.pdf
415,Graphite Crucibles,Samadhan Projects,3978000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GraphiteCrucibles.pdf,GraphiteCrucibles.pdf
416,Green Chilli Sauce,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GreenChilliSauce.pdf,GreenChilliSauce.pdf
417,Green cardamom powder,Samadhan Projects,2436000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Greencardamompowder.pdf,Greencardamompowder.pdf
419,Groundnut oil,Samadhan Projects,4808000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Groundnutoil.pdf,Groundnutoil.pdf
420,Gummed Paper Tape,Samadhan Projects,1789000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GummedPaperTape.pdf,GummedPaperTape.pdf
421,Gun Metal Bushes,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GunMetalBushes.pdf,GunMetalBushes.pdf
422,Gunny Bag,Samadhan Projects,2405000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GunnyBag.pdf,GunnyBag.pdf
423,Gypsum Plaster Board,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GypsumPlasterBoard.pdf,GypsumPlasterBoard.pdf
424,Gypsum Plaster Board,Samadhan Projects,2429000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GypsumPlasterBoard.pdf,GypsumPlasterBoard.pdf
425,HAIR CONDITIONER,POLYMER AND CHEMICAL BASED INDUSTRY,1990000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HAIR CONDITIONER.pdf,PROJECT PROFILE ON HAIR CONDITIONER.pdf
426,HAIR CONDITIONER,POLYMER AND CHEMICAL BASED INDUSTRY,1990000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HAIR CONDITIONER.pdf,PROJECT PROFILE ON HAIR CONDITIONER.pdf
427,HARD RUBBER BATTERY CONTAINERS,POLYMER AND CHEMICAL BASED INDUSTRY,2092000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HARD RUBBER BATTERY CONTAINERS.pdf,PROJECT PROFILE ON HARD RUBBER BATTERY CONTAINERS.pdf
428,HARD RUBBER BATTERY CONTAINERS,POLYMER AND CHEMICAL BASED INDUSTRY,2092000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HARD RUBBER BATTERY CONTAINERS.pdf,PROJECT PROFILE ON HARD RUBBER BATTERY CONTAINERS.pdf
429,HDPE Buckets,Samadhan Projects,3956000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HDPEBuckets.pdf,HDPEBuckets.pdf
430,HDPE Edible Oil Container,Samadhan Projects,4556000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HDPEEdibleOilContainer.pdf,HDPEEdibleOilContainer.pdf
431,HIGH DUTY IRON CASTINGS,RURAL ENGG. AND BIO-TECH INDUSTRY,2133000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HIGH DUTY IRON CASTINGS.pdf,PROJECT PROFILE ON HIGH DUTY IRON CASTINGS.pdf
432,HIRING OF AUDIO SYSTEM,SERVICE AND TEXTILE INDUSTRY,164000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HIRING OF AUDIO SYSTEM.pdf,HIRING OF AUDIO SYSTEM.pdf
433,HONEY JAM MANUFACTURING,FOREST BASED INDUSTRY,315000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HONEY JAM MANUFACTURING.pdf,PROJECT PROFILE ON HONEY JAM MANUFACTURING.pdf
434,HONEY PROCESSING PLANT & HONEY HOUSE,FOREST BASED INDUSTRY,1800000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HONEY PROCESSING PLANT & HONEY HOUSE.pdf,HONEY PROCESSING PLANT & HONEY HOUSE.pdf
435,HURRAICHI CHAPPALS & SANDALS,POLYMER AND CHEMICAL BASED INDUSTRY,1620000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HURRAICHI CHAPPALS & SANDALS.pdf,PROJECT PROFILE ON HURRAICHI CHAPPALS & SANDALS.pdf
436,HURRAICHI CHAPPALS & SANDALS,POLYMER AND CHEMICAL BASED INDUSTRY,1620000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON HURRAICHI CHAPPALS & SANDALS.pdf,PROJECT PROFILE ON HURRAICHI CHAPPALS & SANDALS.pdf
437,Hair gel,Samadhan Projects,2317000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Hairgel.pdf,Hairgel.pdf
438,Hand Sanitizer,Samadhan Projects,2335000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HandSanitizer.pdf,HandSanitizer.pdf
439,Handicraft Jwellery,Samadhan Projects,841000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HandicraftJwellery.pdf,HandicraftJwellery.pdf
441,Handmade Paper,Samadhan Projects,1467000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HandmadePaper.pdf,HandmadePaper.pdf
442,Handmade Pickle,Samadhan Projects,684000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HandmadePickle.pdf,HandmadePickle.pdf
443,Handmade paper from waste,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Handmadepaperfromwaste.pdf,Handmadepaperfromwaste.pdf
444,Hard Chromium Plating,Samadhan Projects,2056000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HardChromiumPlating.pdf,HardChromiumPlating.pdf
445,Harra Oil Processing Unit,Samadhan Projects,2489000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HarraOilProcessingUnit.pdf,HarraOilProcessingUnit.pdf
446,Health & Fitness Centre,Samadhan Projects,6945042,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HealthFitnessCentre.pdf,HealthFitnessCentre.pdf
447,Heat Pipe,Samadhan Projects,2254000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HeatPipe.pdf,HeatPipe.pdf
448,Herbal Toothpaste,Samadhan Projects,1522000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HerbalToothpaste.pdf,HerbalToothpaste.pdf
449,Hirda Oil Processing Unit,Samadhan Projects,2443000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HirdaOilProcessingUnit.pdf,HirdaOilProcessingUnit.pdf
450,Hockey Sticks,Samadhan Projects,979000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HockeySticks.pdf,HockeySticks.pdf
451,Hollow and Cement Concrete bricks,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HollowandCementConcretebricks.pdf,HollowandCementConcretebricks.pdf
452,Honey Based Beverages,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HoneyBasedBeverages.pdf,HoneyBasedBeverages.pdf
453,Honey Bee Farming,Samadhan Projects,2400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HoneyBeeFarming.pdf,HoneyBeeFarming.pdf
454,Honey Packaging Unit,Samadhan Projects,2188000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HoneyPackagingUnit.pdf,HoneyPackagingUnit.pdf
455,Honey Processing,Samadhan Projects,4673000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HoneyProcessing.pdf,HoneyProcessing.pdf
456,ICE-CREAM PARLOUR,AGRO BASED FOOD PROCESSING INDUSTRY,524000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ICE-CREAM PARLOUR.pdf,ICE-CREAM PARLOUR.pdf
457,ICE-CREAM PARLOUR,AGRO BASED FOOD PROCESSING INDUSTRY,310000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ICE-CREAM PARLOUR - 1.pdf,ICE-CREAM PARLOUR - 1.pdf
458,INVERTER ASSEMBLY,SERVICE AND TEXTILE INDUSTRY,267000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON INVERTER ASSEMBLY.pdf,PROJECT PROFILE ON INVERTER ASSEMBLY.pdf
459,IV Stand,Samadhan Projects,1400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/IVStand.pdf,IVStand.pdf
460,Ice Cream,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/IceCream.pdf,IceCream.pdf
461,Ice cream cone making,Samadhan Projects,2160000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Icecreamconemaking.pdf,Icecreamconemaking.pdf
462,Interlocking bricks,Samadhan Projects,2008000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Interlockingbricks.pdf,Interlockingbricks.pdf
463,Inverter Battery Casting,Samadhan Projects,2497000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/InverterBatteryCasting.pdf,InverterBatteryCasting.pdf
464,Isabgol_DPR,Samadhan Projects,1979000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/IsabgolDPR.pdf,IsabgolDPR.pdf
465,Ittar,Samadhan Projects,750000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Ittar.pdf,Ittar.pdf
466,JACKFRUIT PRODUCTS,AGRO BASED FOOD PROCESSING INDUSTRY,2217000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/JACKFRUIT PRODUCTS.pdf,JACKFRUIT PRODUCTS.pdf
467,JAM JELLY MURABBA MANUFACTURING SCHEME,AGRO BASED FOOD PROCESSING INDUSTRY,770000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/JAM JELLY MURABBA MANUFACTURING SCHEME.pdf,JAM JELLY MURABBA MANUFACTURING SCHEME.pdf
468,Jackfruit processing,Samadhan Projects,2400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jackfruitprocessing.pdf,Jackfruitprocessing.pdf
469,Jaggery,Samadhan Projects,1277000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jaggery.pdf,Jaggery.pdf
470,Jam & Jelly,Samadhan Projects,926000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/JamJelly.pdf,JamJelly.pdf
471,Jamun Candy,Samadhan Projects,1845000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/JamunCandy.pdf,JamunCandy.pdf
472,Jegging,Samadhan Projects,661000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jegging.pdf,Jegging.pdf
473,Jeggings,Samadhan Projects,1825000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jeggings.pdf,Jeggings.pdf
474,Jute Wall Hanging,Samadhan Projects,1077000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/JuteWallHanging.pdf,JuteWallHanging.pdf
475,Jute bag making,Samadhan Projects,909000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jutebagmaking.pdf,Jutebagmaking.pdf
476,KISMIS/BEDANA MANACTURING,AGRO BASED FOOD PROCESSING INDUSTRY,1350000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KISMISBEDANA MANACTURING.pdf,PROJECT PROFILE ON KISMISBEDANA MANACTURING.pdf
477,KNITTED SOCKS,SERVICE AND TEXTILE INDUSTRY,752000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KNITTED SOCKS.pdf,PROJECT PROFILE ON KNITTED SOCKS.pdf
478,KURKURE TYPE SNACKS,AGRO BASED FOOD PROCESSING INDUSTRY,2470000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KURKURE TYPE SNACKS.pdf,PROJECT PROFILE ON KURKURE TYPE SNACKS.pdf
479,KURKURE TYPE SNACKS SMALL,AGRO BASED FOOD PROCESSING INDUSTRY,1169000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON KURKURE TYPE SNACKS SMALL.pdf,PROJECT PROFILE ON KURKURE TYPE SNACKS SMALL.pdf
480,Kala Namak Chawal_DPR,Samadhan Projects,1866000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KalaNamakChawalDPR.pdf,KalaNamakChawalDPR.pdf
483,Khadi Kurti,Samadhan Projects,2383000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KhadiKurti.pdf,KhadiKurti.pdf
484,Khadi Mask,Samadhan Projects,1566000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KhadiMask.pdf,KhadiMask.pdf
485,Khakhra Semi automatic,Samadhan Projects,1455000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KhakhraSemiautomatic.pdf,KhakhraSemiautomatic.pdf
487,Kids Woolen Sweater,Samadhan Projects,667000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/KidsWoolenSweater.pdf,KidsWoolenSweater.pdf
489,Kurkure,Samadhan Projects,742000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Kurkure.pdf,Kurkure.pdf
490,LAC BANGLES MANUFACTURING UNIT,MINERAL BASED INDUSTRY,119000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LAC BANGLES MANUFACTURING UNIT.pdf,LAC BANGLES MANUFACTURING UNIT.pdf
491,LADY SUITS,SERVICE AND TEXTILE INDUSTRY,769000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LADY SUITS.pdf,PROJECT PROFILE ON LADY SUITS.pdf
492,LADY'S BLOUSE & PETTICOATS,SERVICE AND TEXTILE INDUSTRY,385000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LADY'S BLOUSE & PETTICOATS.pdf,PROJECT PROFILE ON LADY'S BLOUSE & PETTICOATS.pdf
493,LAMINATED SAFETY GLASS,MINERAL BASED INDUSTRY,1245000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMINATED SAFETY GLASS.pdf,PROJECT PROFILE ON LAMINATED SAFETY GLASS.pdf
494,LAMP HOLDERS,RURAL ENGG. AND BIO-TECH INDUSTRY,330000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS - 1.pdf,PROJECT PROFILE ON LAMP HOLDERS - 1.pdf
495,LAMP HOLDERS,RURAL ENGG. AND BIO-TECH INDUSTRY,1020000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAMP HOLDERS.pdf,PROJECT PROFILE ON LAMP HOLDERS.pdf
496,LAUNDRY SOAP,POLYMER AND CHEMICAL BASED INDUSTRY,0,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LAUNDRY SOAP.pdf,PROJECT PROFILE ON LAUNDRY SOAP.pdf
497,LEAD PENCILS,MINERAL BASED INDUSTRY,875000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEAD PENCILS.pdf,PROJECT PROFILE ON LEAD PENCILS.pdf
498,LEATHER APRONS,POLYMER AND CHEMICAL BASED INDUSTRY,1125000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER APRONS.pdf,PROJECT PROFILE ON LEATHER APRONS.pdf
499,LEATHER APRONS,POLYMER AND CHEMICAL BASED INDUSTRY,1125000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER APRONS.pdf,PROJECT PROFILE ON LEATHER APRONS.pdf
500,LEATHER JEWELLERY,POLYMER AND CHEMICAL BASED INDUSTRY,524000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER JEWELLERY.pdf,PROJECT PROFILE ON LEATHER JEWELLERY.pdf
501,LEATHER JEWELLERY,POLYMER AND CHEMICAL BASED INDUSTRY,524000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER JEWELLERY.pdf,PROJECT PROFILE ON LEATHER JEWELLERY.pdf
502,LEATHER SANDAL WITH P.U. SOLE,POLYMER AND CHEMICAL BASED INDUSTRY,2281400,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEATHER SANDAL WITH P.U.pdf,LEATHER SANDAL WITH P.U.pdf
503,LEATHER SANDAL WITH P.U. SOLE,POLYMER AND CHEMICAL BASED INDUSTRY,2281400,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEATHER SANDAL WITH P.U.pdf,LEATHER SANDAL WITH P.U.pdf
504,LEATHER TOYS,POLYMER AND CHEMICAL BASED INDUSTRY,1405000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON  LEATHER TOYS.pdf,PROJECT PROFILE ON  LEATHER TOYS.pdf
505,LEATHER TOYS,POLYMER AND CHEMICAL BASED INDUSTRY,1405000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON  LEATHER TOYS.pdf,PROJECT PROFILE ON  LEATHER TOYS.pdf
506,LEATHER WALLETS AND PURSES,POLYMER AND CHEMICAL BASED INDUSTRY,1660000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf,PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf
507,LEATHER WALLETS AND PURSES,POLYMER AND CHEMICAL BASED INDUSTRY,1660000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf,PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf
508,LEATHR BRIEFCASE,POLYMER AND CHEMICAL BASED INDUSTRY,1504000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHR BRIEFCASE.pdf,PROJECT PROFILE ON LEATHR BRIEFCASE.pdf
509,LEATHR BRIEFCASE,POLYMER AND CHEMICAL BASED INDUSTRY,1504000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHR BRIEFCASE.pdf,PROJECT PROFILE ON LEATHR BRIEFCASE.pdf
510,LED Bulb,Samadhan Projects,112000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDBulb.pdf,LEDBulb.pdf
511,LED Lamp assembly unit,Samadhan Projects,2083000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDLampassemblyunit.pdf,LEDLampassemblyunit.pdf
512,LED Lighting System,Samadhan Projects,1469000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LEDLightingSystem.pdf,LEDLightingSystem.pdf
513,LIPSTIC & KAJAL PENCIL,POLYMER AND CHEMICAL BASED INDUSTRY,2398000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf,PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf
514,LIPSTIC & KAJAL PENCIL,POLYMER AND CHEMICAL BASED INDUSTRY,2398000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf,PROJECT PROFILE ON LIPSTIC & KAJAL PENCIL.pdf
515,LIQUID DETERGENT,POLYMER AND CHEMICAL BASED INDUSTRY,400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIQUID DETERGENT.pdf,PROJECT PROFILE ON LIQUID DETERGENT.pdf
516,LIQUID DETERGENT,POLYMER AND CHEMICAL BASED INDUSTRY,400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LIQUID DETERGENT.pdf,PROJECT PROFILE ON LIQUID DETERGENT.pdf
517,LLDPE Agricultural Mulch,Samadhan Projects,4278000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LLDPEAgriculturalMulch.pdf,LLDPEAgriculturalMulch.pdf
518,LOOKING MIRROR,MINERAL BASED INDUSTRY,1825000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LOOKING MIRROR.pdf,PROJECT PROFILE ON LOOKING MIRROR.pdf
519,LOW COST RADIO RECEIVERS,RURAL ENGG. AND BIO-TECH INDUSTRY,270000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf,PROJECT PROFILE ON LPG COOKING RANGE.pdf
520,LPG COOKING RANGE,RURAL ENGG. AND BIO-TECH INDUSTRY,1720000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LPG COOKING RANGE.pdf,PROJECT PROFILE ON LPG COOKING RANGE.pdf
521,LPG Gas Pipe,Samadhan Projects,2491000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LPGGasPipe.pdf,LPGGasPipe.pdf
522,LT Control Panel,Samadhan Projects,920000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LTControlPanel.pdf,LTControlPanel.pdf
523,LUGGAGE CARRIERS,RURAL ENGG. AND BIO-TECH INDUSTRY,512000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LUGGAGE CARRIERS.pdf,PROJECT PROFILE ON LUGGAGE CARRIERS.pdf
524,Ladies Suit,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LadiesSuit.pdf,LadiesSuit.pdf
525,Ladies Suits,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LadiesSuits.pdf,LadiesSuits.pdf
526,Laminated Safety Glass,Samadhan Projects,2022000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LaminatedSafetyGlass.pdf,LaminatedSafetyGlass.pdf
527,Laundry Soap,Samadhan Projects,1962000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LaundrySoap.pdf,LaundrySoap.pdf
528,Lead Pencil,Samadhan Projects,1985200,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/LeadPencil.pdf,LeadPencil.pdf
